CAN'T SAY; Travis Scott
Alright; Kendrick Lamar
Heartless - Remix; The Weeknd
Laugh Now Cry Later (feat. Lil Durk); Drake
Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock); Young Thug
Go Off (with Lil Uzi Vert, Quavo & Travis Scott); Lil Uzi Vert
XO TOUR Llif3; Lil Uzi Vert
No Favors; Big Sean
Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors); Lil Wayne
Rap God; Eminem
Mirror; Lil Wayne
6 Foot 7 Foot; Lil Wayne
No Love; Eminem
Integrity; Jme
Mask Off; Future
Congratulations; Post Malone
DNA.; Kendrick Lamar
Congratulations - Remix; Post Malone
See You Again (feat. Charlie Puth); Wiz Khalifa
Numb; 21 Savage
Jumpman; Drake
goosebumps; Travis Scott
Close My Eyes; 21 Savage
Trap And A Dream (feat. Meek Mill); A$AP Ferg
Nasty (Who Dat) (feat. Migos); A$AP Ferg
No Security; Skepta
Shutdown; Skepta
Man Don't Care; Jme
rockstar; Post Malone
Track 5; Skepta
Bank Account; 21 Savage
Ghostface Killers (feat. Travis Scott); 21 Savage
Ric Flair Drip (with Metro Boomin); Offset
That's All She Wrote; T.I.
Black and Yellow; Wiz Khalifa
Patek Water (feat. Offset); Future
With That (feat. Duke); Young Thug
Savage Mode; 21 Savage
Bad and Boujee (feat. Lil Uzi Vert); Migos
The Purge; Hopsin
No Heart; 21 Savage
Rap Saved Me (feat. Quavo); 21 Savage
HUMBLE.; Kendrick Lamar
7 Min Freestyle; 21 Savage
Trigger Finger; Lil Wayne
Rich As Fuck; Lil Wayne
Love Me; Lil Wayne
President Carter; Lil Wayne
Codeine Dreaming (feat. Lil Wayne); Kodak Black
Loyal to the Soil (feat. Lil Wayne); Dame D.O.L.L.A
