Ni**as In Paris; JAY-Z
Audacity (feat. Headie One); Stormzy
POWER; Kanye West
Nonstop; Drake
Believe Me; Lil Wayne
Know Yourself; Drake
Look Alive (feat. Drake); BlocBoy JB
Track 5; Skepta
goosebumps; Travis Scott
Jumpman; Drake
DNA.; Kendrick Lamar
6 God; Drake
Wild Dogs; Lil Wayne
A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi); A$AP Rocky
Stronger; Kanye West
Gotham's Reckoning; Hans Zimmer
Swagga Like Us; T.I.
Off That; JAY-Z
Takeover; JAY-Z
Moment Of Clarity; JAY-Z
Public Service Announcement (Interlude); JAY-Z
Diamonds Is Forever; JAY-Z
U Don't Know - Remix; JAY-Z
U Don't Know; JAY-Z
Blueprint 2; JAY-Z
Points of Authority / 99 Problems / One Step Closer; JAY-Z
Numb / Encore; JAY-Z
Talk Up (feat. Jay-Z); Drake
6 Foot 7 Foot; Lil Wayne
Trigger Finger; Lil Wayne
Codeine Dreaming (feat. Lil Wayne); Kodak Black
Fuck Wit Dre Day (And Everybody's Celebratin'); Dr. Dre
HYFR (Hell Ya Fucking Right); Drake
It's Good; Lil Wayne
I'm On One; DJ Khaled
Street Chains; Lil Wayne
0 To 100 / The Catch Up; Drake
Started From the Bottom; Drake
5 Am in Toronto; Drake
KMT; Drake
Hype; Drake
Money In The Grave (Drake ft. Rick Ross); Drake
Going Bad (feat. Drake); Meek Mill
Pop Style; Drake
Shutdown; Skepta
Greaze Mode; Skepta
Show Out (with Skepta & Pop Smoke); Kid Cudi
Inglorious (feat. Skepta); slowthai
Wiley Flow; Stormzy
Mr Skeng; Stormzy
