Piece of My Heart; Erma Franklin
Simple Man; Lynyrd Skynyrd
Put Your Records On; Corinne Bailey Rae
Chasing Cars; Snow Patrol
Tired of Being Alone; Al Green
Lean on Me; Bill Withers
Still into You; Paramore
Stolen Dance; Milky Chance
Andar Conmigo; Julieta Venegas
Hit Me With Your Best Shot; Pat Benatar
Feels (feat. Pharrell Williams, Katy Perry & Big Sean); Calvin Harris
Rather Be (feat. Jess Glynne); Clean Bandit
Bibia Be Ye Ye; Ed Sheeran
Ain't It Fun; Paramore
Hard Times; Paramore
Wake Me Up; Avicii
Where Is The Love?; Black Eyed Peas
Take on Me; a-ha
You Belong With Me; Taylor Swift
Treasure; Bruno Mars
Try; P!nk
CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"); Justin Timberlake
How to Save a Life; The Fray
Magic Carpet Ride; Steppenwolf
I Want You Back; The Jackson 5
Ebony Eyes; Stevie Wonder
Only Love Can Hurt Like This; Paloma Faith
Angel; Aerosmith
Happier Than Ever; Billie Eilish
people pleaser; Cat Burns
Kiss from a Rose; Seal
Disco Man; Remi Wolf
Sexy Villain; Remi Wolf
These Words; Natasha Bedingfield
Devil Woman - 2001 Remaster; Cliff Richard
What A Feeling; Irene Cara
I Want To Break Free - Remastered 2011; Queen
How Will I Know; Whitney Houston
