Shelter; Porter Robinson
Heaven To Me (feat. Alex Clare); Don Diablo
All Time Low; Jon Bellion
Shadow (feat. IRO) - From Songland; Macklemore
Burn the House Down; AJR
Way To Break My Heart (feat. Skrillex); Ed Sheeran
I Found U; Passion Pit
My Type; Saint Motel
Bangarang (feat. Sirah); Skrillex
Electric Feel; MGMT
Let It Be; Labrinth
No New Friends (feat. Sia, Diplo, and Labrinth); Sia
Scared to Be Lonely; Martin Garrix
Tears (feat. Louisa Johnson); Clean Bandit
Rockabye (feat. Sean Paul & Anne-Marie); Clean Bandit
Let Me Go (with Alesso, Florida Georgia Line & watt); Hailee Steinfeld
Faded; Alan Walker
Don't Let Me Down; The Chainsmokers
Waves - Robin Schulz Radio Edit; Mr. Probz
Take on Me; a-ha
Don't You Worry Child - Radio Edit; Swedish House Mafia
Lonely Together (feat. Rita Ora); Avicii
Waiting For Love; Avicii
More Than You Know; Axwell /\ Ingrosso
Dreamer; Axwell /\ Ingrosso
Sun Is Shining; Axwell /\ Ingrosso
Alone; Marshmello
Alone; Alan Walker
2U; David Guetta
Rather Be (feat. Jess Glynne); Clean Bandit
Call on Me - Ryan Riback Remix; Starley
Friend Of Mine (feat. Vargas & Lagola); Avicii
Titanium (feat. Sia); David Guetta
Break Free; Ariana Grande
Stay; Zedd
Stay The Night - Featuring Hayley Williams Of Paramore; Zedd
Clarity; Zedd
Beautiful Now; Zedd
; 
Sweet Dreams - Radio Killer Remix; Andra
Miles Above You; Spektrem
This Game (No Game No Life Opening); MyReminiscence
Darkside; Alan Walker
Monody (feat. Laura Brehm); TheFatRat
Happy Now; Zedd
Better Off Alone; Alice Deejay
Unity; TheFatRat
No No No; TheFatRat
Never Be Alone; TheFatRat
Jackpot; TheFatRat
Prelude; TheFatRat
Fly Away; TheFatRat
Hello; OMFG
I Love You; OMFG
Joystick; Digital Math
Cloud 9; Tobu
Sunburst; Tobu
Panda; Itro
Alive; Itro
The Calling; TheFatRat
Came Here for Love; Sigala
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit; Avicii
Levels - Radio Edit; Avicii
Madness; Muse
All Falls Down (feat. Juliander); Alan Walker
Electricity (with Dua Lipa); Silk City
Sweet Nothing (feat. Florence Welch); Calvin Harris
Summer; Calvin Harris
Freedom Bill; Infected Mushroom
High On Life (feat. Bonn); Martin Garrix
In the Name of Love; Martin Garrix
Body Back (feat. Maia Wright); Gryffin
No Money; Galantis
