Give A Little; Maggie Rogers
Overnight; Maggie Rogers
The Knife; Maggie Rogers
Alaska; Maggie Rogers
Light On; Maggie Rogers
Past Life; Maggie Rogers
Say It; Maggie Rogers
On + Off; Maggie Rogers
Fallingwater; Maggie Rogers
Retrograde; Maggie Rogers
Burning; Maggie Rogers
Back In My Body; Maggie Rogers
Feel It Still; Portugal. The Man
A Little Party Never Killed Nobody (All We Got); Fergie
Gibberish (feat. Hoodie Allen); MAX
Flossin (feat. DJ Suede The Remix God); The Backpack Kid
u just can't be replaced (feat. rosabeales); gnash
Gimme Love; Car, the garden
better days; JAIE
1950; King Princess
Passionfruit; Drake
Empire State of Mind (Part II) Broken Down; Alicia Keys
Let's Shut Up & Dance; Jason Derulo
Never Tear Us Apart; Paloma Faith
Fireball (feat. John Ryan); Pitbull
One; Three Dog Night
Picture Book - 2018 Stereo Remaster; The Kinks
Bust Down Thotiana; DJ Buss
Run Boy Run; Woodkid
Mercy; Kanye West
Happy Together (feat. Ray Toro); Gerard Way
Soul Kitchen; The Doors
NASA; Ariana Grande
Moderation; Florence + The Machine
Harmony Hall; Vampire Weekend
i'm so tired...; Lauv
Mirage; Toro y Moi
Want You Back; Grey
Talk; Khalid
Talia; King Princess
Undrunk; FLETCHER
What Lovers Do (feat. SZA); Maroon 5
Love Is More Depressing Than Depression; prxz
