Creature Fear; Bon Iver
pov; Ariana Grande
Sunlight; Hozier
Come Back to Me; NEWSCHOOL VINTAGE
Manta Rays; chloe moriondo
BULL$HIT; Evann McIntosh
Almost (Sweet Music); Hozier
Would That I; Hozier
Skinny Love; Bon Iver
Flume; Bon Iver
Godspeed; Frank Ocean
Solo; Frank Ocean
Ivy; Frank Ocean
White Ferrari; Frank Ocean
Pink + White; Frank Ocean
love language; Ariana Grande
Wasteland, Baby!; Hozier
Be; Hozier
is your bedroom ceiling bored? (feat. Cavetown); Sody
HOLLOW; Victor Internet
29 #Strafford APTS; Bon Iver
Ribs; Lorde
Buzzcut Season; Lorde
On Track; Tame Impala
Lost In Yesterday; Tame Impala
Let It Happen; Tame Impala
Falling; Harry Styles
Cherry; Harry Styles
warm glow; Hippo Campus
I Wouldn't Ask You; Clairo
Self Control; Frank Ocean
30 MINUTES; Adam Melchor
Pink in the Night; Mitski
Around; NIKI
If There's Nothing Left...; NIKI
Until It Happens To You; Sasha Alex Sloan
Before; James Blake
Do You Ever; James Blake
I Keep Calling; James Blake
Summer Of Now; James Blake
Therefore I Am; Billie Eilish
Reds; Lav
Don't Bother Calling; Moses Sumney
Life Goes On; BTS
Blue & Grey; BTS
Dis-ease; BTS
Telepathy; BTS
Under The Moon; Foster The People
