Forgotten Love; AURORA
Feeling Lonely; boy pablo
Cherry; Lana Del Rey
lowkey; NIKI
urs; NIKI
move!; NIKI
odds; NIKI
Paris in the Rain; Lauv
Soulmate; Lizzo
Wait a Minute!; WILLOW
Boys; Lizzo
Exactly How I Feel (feat. Gucci Mane); Lizzo
Like a Girl; Lizzo
Juice; Lizzo
Truth Hurts; Lizzo
Talk (feat. Disclosure); Khalid
Tempo (feat. Missy Elliott); Lizzo
NASA; Ariana Grande
Summertime Sadness; Lana Del Rey
I Don't Wanna Dance; COIN
Sleepy Eyes; Elohim
Million Bucks; Smallpools
Give A Little; Maggie Rogers
Outta My Head (with John Mayer); Khalid
Hundred; Khalid
Vintage; NIKI
Right Back; Khalid
Drugs & The Internet; Lauv
See U Never; NIKI
Newsflash!; NIKI
Cuz I Love You; Lizzo
SLOW DANCING IN THE DARK; Joji
Easy; Mac Ayres
Sad Forever; Lauv
Saturday Nights; Khalid
Phases; PRETTYMUCH
Chilly; NIKI
Head In The Clouds; 88rising
Easily; Bruno Major
In My Feelings; Lana Del Rey
Still into You; Paramore
