Put Your Records On; Ritt Momney
Hollow Life; Coast Modern
Have You Ever Been in Love; The Ivy
Holiest; Glass Animals
Silvertongue; Young the Giant
Youth; Glass Animals
Young And Beautiful; Glass Animals
Pork Soda - Radio Edit; Glass Animals
Dreamland; Glass Animals
Cane Shuga; Glass Animals
The Other Side Of Paradise; Glass Animals
Pork Soda; Glass Animals
Lucky; Zeph
CIRCLES; Kid Bloom
What Dreams Are Made Of; Evann McIntosh
DIFFERENT; WOODZ
Heart; Slow Hollows
A Toast and a Spirit - Midnight Version; Vacation Manor
Real Damn Shame; Felly
The Less I Know The Better; Tame Impala
It's A Trip!; Joywave
Guru; Coast Modern
Going Down; Coast Modern
So Young; Portugal. The Man
Sit Next to Me; Foster The People
Season 2 Episode 3; Glass Animals
Wish I Knew You; The Revivalists
Dive; Coast Modern
Window; Still Woozy
Move; Saint Motel
Life Itself; Glass Animals
Animals; Coast Modern
Talk Too Much; COIN
Sweet Talk; Saint Motel
Something to Believe In; Young the Giant
Suicide Saturday; Hippo Campus
Tidal Wave; Portugal. The Man
Levitate; The Palms
Pockets Full Of No; Coast Modern
Chemicals; SG Lewis
Life Inside; Verzache
False Direction; Dayglow
The Way It Was; Coast Modern
Gimme Love; Joji
Now I'm Cool; Coast Modern
Electric Feel; Coast Modern
Run It Up; Coast Modern
Wounded/Surrounded; Kid Bloom
Woo!; Remi Wolf
More; Electric Guest
Dollar; Electric Guest
Tiny Umbrella; Coast Modern
Heart-Shaped Box; Glass Animals
Oxygen; Bombargo
Freakin' Out On the Interstate; Briston Maroney
