One Point Perspective; Arctic Monkeys
Baby Came Home; The Neighbourhood
Eleven; Khalid
No Time To Die; Billie Eilish
Pink + White; Frank Ocean
LOYAL (feat. Drake); PARTYNEXTDOOR
Not Today; Twenty One Pilots
The Ballad of Mona Lisa; Panic! At The Disco
Blinding Lights; The Weeknd
Monks; Frank Ocean
Lights Up; Harry Styles
Death of a Bachelor; Panic! At The Disco
Afraid; The Neighbourhood
505; Arctic Monkeys
The Next Best American Record; Lana Del Rey
Brianstorm; Arctic Monkeys
Adore You; Harry Styles
R.I.P. 2 My Youth; The Neighbourhood
Who The Fuck Are Arctic Monkeys?; Arctic Monkeys
Physical; Dua Lipa
Up All Night; Khalid
Emperor's New Clothes; Panic! At The Disco
Moon River; Frank Ocean
Sierra Leone; Frank Ocean
Godspeed; Frank Ocean
RUNNING OUT OF TIME; Tyler, The Creator
This Is Gospel; Panic! At The Disco
Oldie; Odd Future
Brotha Man (feat. French Montana); A$AP Rocky
You and I; Jakob
