found & lost; Survive Said The Prophet
Is Everybody Going Crazy?; Nothing But Thieves
The sun that will not rise (Fool on cool version); the pillows
Re:Re:; ASIAN KUNG-FU GENERATION
MUKANJYO; Survive Said The Prophet
Time is Running Out; Muse
Plug in Baby; Muse
Some Kind of Disaster; All Time Low
Melancholy Kaleidoscope; All Time Low
Brave Shine; Aimer
I beg you; Aimer
Kanzen kankaku Dreamer; ONE OK ROCK
I Wanna Be...; SPYAIR
Gone; coldrain
Dear Maria, Count Me In; All Time Low
All This Fxxking Time; NELL
Choke; Siamese Cats
Fanfare; Bentham
Ameagari No Endroll; BLANK BUCKET
HEROES; Brian the Sun
HEKIREKI; LAST ALLIANCE
Goya No Machiawase; Hello Sleepwalkers
STRIKE BACK; BACK-ON
