Now I'm In It; HAIM
Space Cadet; beabadoobee
Cinnamon Girl; Lana Del Rey
No Bullets Spent; Spoon
Home; Vacations
I Lost a Friend; FINNEAS
Shelter; FINNEAS
Lost My Mind; FINNEAS
I Don't Miss You at All; FINNEAS
Partners in Crime; FINNEAS
Let's Fall in Love for the Night; FINNEAS
Die Alone; FINNEAS
everything i wanted; Billie Eilish
July; Noah Cyrus
Be Somebody; Phil Good
Forever's Gone; DRAMA
Like That (feat. Gucci Mane); Doja Cat
Put Your Records On; Corinne Bailey Rae
Sukidakara; UMI
Breathe; UMI
suffice; mxmtoon
