Pretty Lips; WINEHOUSE
Sedona; Sir Chloe
Afterglow; THE DRIVER ERA
Just Friends; Lily Kaplan
Stuck On You; Giveon
Raining in June; Olive Klug
Pulaski; Andrew Bird
nothing else i could do; ella jane
7PM; Lilacs.
Jane; LAUNDRY DAY
Are You Scared to Die?; Silver Cup
Dealer; Lana Del Rey
Confirmation (SSBD); Westerman
Kingston; Faye Webster
Everybody Wants to Love You; Japanese Breakfast
When; dodie
Stepped On A Bee; MisterWives
Where Were You; FELIVAND
No Choice; Tame Impala
GROWING UP IS _____; Ruel
I Hate U; SZA
Day After Tomorrow; Phoebe Bridgers
don't miss me; Claire Rosinkranz
Secrets (Your Fire); Magdalena Bay
