Black Paper Plane; FELIVAND
C'est La Vie; FELIVAND
Same Old; FELIVAND
Overgrown; FELIVAND
Recollections; FELIVAND
Ebb & Flow; FELIVAND
Gone; FELIVAND
Midsummer Sun; FELIVAND
The Game; FELIVAND
Trajectory; FELIVAND
L/D; FELIVAND
Rollin' Stone; Kyle Lux
Just a Boy; The Backseat Lovers
Lilo; The Japanese House
XS; Rina Sawayama
Paradisin'; Rina Sawayama
STFU!; Rina Sawayama
Snakeskin; Rina Sawayama
peas; boylife
Francis Forever; Mitski
Be an Astronaut; Declan McKenna
TwentyTwo; Thea
21; Gracie Abrams
Lara (feat. Clairo); Sassy 009
Cherry Bomb; Julianna Joy
I Wasn't Told; Berhana
tea; emawk
3 AM; HAIM
Tell Me; yours, andrew
Black Cat; Valley Boy
When He's Done; Tei Shi
Decompose; spill tab
Susie Save Your Love; Allie X
If I Get To Meet You; BENEE
Pretty Boy; Lennon Stella
Late Bloomer; Mereba
Chlorine; Dori Valentine
No Roof Access; Kyle Lux
Tenant; Andrea Chahayed
Life After; BROODS
Do I Make You Nervous; Dreamer Isioma
Porsche; Kacy Hill
Calvaire; spill tab
Cotton Candy; spill tab
TURBO DREAMS; Gia Ford
