my future; Billie Eilish
Selene; NIKI
Polaroid Boy; Nicole Zefanya
Green Light; Lorde
Where I Wander; UMI
Perfect Places; Lorde
Homemade Dynamite; Lorde
Hard Feelings/Loveless; Lorde
right here; keshi
Erase; Omar Apollo
Frozen; Sabrina Claudio
Guilty Conscience - Tame Impala Remix; 070 Shake
Chilly; NIKI
like i need u; keshi
over and over; sky
2 soon; keshi
3:00 AM; Finding Hope
she likes spring, I prefer winter; slchld
say what's on your mind; slchld
Camped; RINI
Wrong About Forever; Jeff Bernat
Stoop So Low; Alextbh
Still; Jeff Bernat
Cherry Flavoured; The Neighbourhood
Helium; Glass Animals
Waterfalls Coming Out Your Mouth; Glass Animals
Lose; NIKI
bon iver; mxmtoon
Getting Closer; Yellow Days
Blood Sugar; Kid Bloom
Daylight; Joji
Hawaiian Party; Cub Sport
