Open Up; UMI
Blue; The Happy Return
Van McCann; CARR
Sometimes; Goth Babe
striptease; carwash
Check Up; The Million
In Time; Roan Martin
Wormwood; Ritt Momney
Honey; Moxie
Kilby Girl; The Backseat Lovers
Dear Maria, Count Me In; All Time Low
Time Runs Out; The Happy Return
Mariposa; Peach Tree Rascals
Lemonade; The Happy Return
Maple Syrup; The Backseat Lovers
Sugar, We're Goin Down; Fall Out Boy
Freakin' Out On the Interstate; Briston Maroney
People; The 1975
Roadkill; The 1975
Nothing Revealed / Everything Denied; The 1975
Introspection; UMI
Tonight (I Wish I Was Your Boy); The 1975
Sunshine; The Velvet Cab
didya think; Arlie
Hot Rod; Dayglow
Moving On; Sarah and the Sundays
Marceline; Vista Kicks
Out of Tune; The Backseat Lovers
Malibu 1992; COIN
June; Briston Maroney
Tommy's Party; Peach Pit
Bambi; Hippo Campus
Best Tears; The Happy Fits
Sophomore Slump Or Comeback Of The Year; Fall Out Boy
Wilson (Expensive Mistakes); Fall Out Boy
Night Moves; Michi
Close; Eric Ryan
Let It Happen; Tame Impala
Heart Is a Muscle; Decorator
Oof; Inner Wave
Frail State Of Mind; The 1975
Fat Lady; Sure Sure
Someday; Peach Tree Rascals
Rosalyn (Whenever You Call); Duncan Fellows
tossing and turning; Arlie
505; Arctic Monkeys
American Idiot; Green Day
Girls In Bikinis; Poppy
Flash; Ryan Beatty
