Colours Of You; Baby Queen
Want Me; Baby Queen
Lovesick; Peace
Dover Beach; Baby Queen
Don't Delete The Kisses; Wolf Alice
Sappho; Frankie Cosmos
girls; girl in red
Dance with Me; beabadoobee
Angel; Lava La Rue
Why Am I Like This?; Orla Gartland
My Own Person; Ezra Williams
Telephone; Waterparks
LUCID; Rina Sawayama
Clearest Blue; CHVRCHES
Alaska - Toby Green Remix; Maggie Rogers
What's It Gonna Be?; Shura
heart; flor
nothing else i could do; ella jane
UrbanAngel1999; Thomas Headon
If You Want To; beabadoobee
Buzzkill; Baby Queen
fever dream; mxmtoon
Paper Mache World; Matilda Mann
I Want To Be With You; chloe moriondo
Knock Me Off My Feet; SOAK
Flirting with Her; Sir Babygirl
Bang Bang Bang; Lauran Hibberd
Tired; beabadoobee
Any Other Way; Tomberlin
Smokey Eyes; Lincoln
Our Window; Noah And The Whale
Because I Love You; Montaigne
Close To You; Dayglow
Moment In The Sun; Sunflower Bean
I Belong in Your Arms; Chairlift
Yours; Conan Gray
Goodie Bag; Still Woozy
Habit; Still Woozy
good 4 u; Olivia Rodrigo
OPEN A WINDOW (feat. Tyler, The Creator); Rex Orange County
Pluto Projector; Rex Orange County
Loving Is Easy (feat. Benny Sings); Rex Orange County
WORTH IT; Rex Orange County
Corduroy Dreams; Rex Orange County
KEEP IT UP; Rex Orange County
mona lisa; mxmtoon
victim of nostalgia; mxmtoon
sad disco; mxmtoon
frown; mxmtoon
scales; mxmtoon
growing pains; mxmtoon
dizzy; mxmtoon
haze; mxmtoon
learn to love you; mxmtoon
florida; mxmtoon
dance (end of the world); mxmtoon
coming of age; mxmtoon
spineless; valentines day
Comfort, Edge; Helena Deland
Macabre; Land of Talk
Parking Lot; Genevieve Stokes
Superstar; Boyish
Sophie; Frances Grove
Nectarine Lane; Salina Killa
Calypso; ash tuesday
Eastside; DAISY
Coming Soon; Annie DiRusso
seasonal depression; mxmtoon
prom dress; mxmtoon
mona lisa; mxmtoon
