Crush Culture; Conan Gray
When I'm Gone; Before You Exit
Juicy; Doja Cat
Sanctuary; Joji
Best Friend; Rex Orange County
NUMB; XXXTENTACION
The King; Conan Gray
Would That I; Hozier
Wish; Diplo
Flaming Hot Cheetos; Clairo
8 Letters; Why Don't We
New Heroes; TEN
Somebody Else; The 1975
Scary Love; The Neighbourhood
Falling for U; Peachy!
Generation Why; Conan Gray
Sunflower; Rex Orange County
Pretty Girl; Clairo
Loving Is Easy (feat. Benny Sings); Rex Orange County
Crush; Tahiti 80
Buttercup; Jack Stauber
Checkmate; Conan Gray
Idle Town; Conan Gray
The Other Side; Conan Gray
Greek God; Conan Gray
9; WILLOW
Summertime In Paris; Jaden
Warm Honey; WILLOW
Newsflash!; NIKI
Wait a Minute!; WILLOW
Five Minutes; Her
King of the Clouds; Panic! At The Disco
Fangs; Matt Champion
Lookalike; Conan Gray
Boys Will Be Bugs; Cavetown
Are You Bored Yet? (feat. Clairo); Wallows
prom dress; mxmtoon
Grow; Conan Gray
Lemon Boy; Cavetown
feelings are fatal; mxmtoon
Lover Is a Day; Cuco
Waves; chloe moriondo
Let's Fall in Love for the Night; FINNEAS
Bad Luck; Khalid
Intro; Khalid
My Bad; Khalid
the idea of you; mxmtoon
Spaceland; chloe moriondo
Time Machine; WILLOW
Female Energy, Part 2; WILLOW
Hey Ya!; Outkast
i feel like chet; mxmtoon
