Paper Houses; Sidney Amos
Ride on Shooting Star; the pillows
you're my world; atlas
SLOW DANCING IN THE DARK - Acoustic Remix; Joji
It's Gonna Be Okay; Thomas Ng
New Girl; FINNEAS
A Night Without Rain; Rock N Roll Radio
white summer and green bicycle, red hair with black guitar (Fool on cool version); the pillows
July; The Polar Boys
Thank you, my twilight; the pillows
Break My Heart Again; FINNEAS
Star overhead; the pillows
159cm; Tank
Bbo Bbo; Jessica Universe
A Car Going Nowhere; ESAE
Ghost; Celeste Madden
Lonely Nights; Djouher
don't worry, you will; lovelytheband
Feels Like Summer; Childish Gambino
i wanna be your girlfriend; girl in red
To Be So Lonely; Harry Styles
Take It All; Adele
Wish You Were Sober; Conan Gray
The Cut That Always Bleeds; Conan Gray
Fight or Flight; Conan Gray
Little League; Conan Gray
The Story; Conan Gray
Heather; Conan Gray
OK; Wallows
Adore You; Harry Styles
Valentine; COIN
Can I Call You Tonight?; Dayglow
Affluenza; Conan Gray
Spiky Seeds; the pillows
LAST DINOSAUR; the pillows
Alone Again; The Weeknd
Scared To Live; The Weeknd
Until I Bleed Out; The Weeknd
WAKING UP DOWN; Yaeji
Change Your Heart; Audrey Mika
Urong Sulong; Alisson Shore
19.10; Childish Gambino
Golden; Harry Styles
YEAH RIGHT; Joji
