I Wish you Roses; Kali Uchis
If You Let Me; Alina Baraz
Palm; Margaux
Something Inside; Vida
Slow Down; Peter McPoland
End Of A Friendship; Julia Jacklin
You Already Know; August Eve
Hey, Ma; Bon Iver
Antidote; Orion Sun
wide eyed; JAWNY
Stayed at the Party; Hope Tala
SYT; Jordana
ANGELA (feat. Jimi Somewhere); Sval
Broke Mine Too; Devon Again
blame; Babebee
Morning in the Aves; The Backseat Lovers
Self Fulfilling Prophecy; Pretty Sick
LaLaLa; CHAMELEON LIME WHOOPIEPIE
burning love letters; april june
Steal This Night; Rocco
all i ever wanted (was you); mazie
Weightless; Arlo Parks
Lorelei; Cocteau Twins
Odyssey; Julia Pratt
Mad At Me; Samia
Worst Case Kid; Tommy Lefroy
flounder; quinnie
Angelina; Lizzy McAlpine
Do You Like Me?; Daniel Caesar
gum v9.1; Devon Again
(She's) Just a Phase; Puma Blue
Fade into You; Mallrat
Ring of Past; Men I Trust
3 Boys; Omar Apollo
TODAY; Q
Technicolor Love; Dreamer Isioma
