Stargazing; The Neighbourhood
Rainbow; dodie
Here We Go Again; The Neighbourhood
Like Real People Do; Hozier
Mice City; Hotel Ugly
Blue Skies; Moxie
TERRORS; Reaper
Cherry Wine - Live; Hozier
1964; Blossom Caldarone
His Hands; Blegh
Get Yourself To Sleep; Oscar Welsh
Darling; Christian Leave
nothing else i could do; ella jane
More; The Greeting Committee
Hallway Weather; NIKI
Dirty Laundry; Blake Ruby
INC.; Dori Valentine
Jane; LAUNDRY DAY
Adult; Christian Leave
Pluto Projector; Rex Orange County
Cadillac; Foster The People
SUNRISE; MICHELLE
Hang Loose; Hellogoodbye
Slow Dances; Winnetka Bowling League
80's High School; CASTLEBEAT
Yoko Ono; Mob Rich
Love in the Time of Socialism; Yellow House
Nikki; The Licks
