IDGAF ABOUT PAIN; HONNE
COMING HOME (feat. NIKI); HONNE
WHAT WOULD YOU DO? (feat. Pink Sweat$); HONNE
DANCING ON A CLOUD; HONNE
THREE STRIKES (feat. Khalid); HONNE
TALK TO ME; HONNE
BACK ON TOP (feat. Griff); HONNE
EASY ON ME; HONNE
HEARTSONG; HONNE
Texas Reznikoff; Mitski
Townie; Mitski
First Love/Late Spring; Mitski
Francis Forever; Mitski
I Don't Smoke; Mitski
Jobless Monday; Mitski
Drunk Walk Home; Mitski
I Will; Mitski
Carry Me Out; Mitski
Last Words of a Shooting Star; Mitski
Working for the Knife; Mitski
One Point Perspective; Arctic Monkeys
In a Book (Back to Me); Nick Leng
Pretty Lips; WINEHOUSE
Raining in June; Olive Klug
Winona; Miloe
Mer; HYUKOH
Nude; Radiohead
Sorry for Me; Ricky Montgomery
Clear Mind Blue Skies; Piper Madison
People Watching; Conan Gray
I Bet on Losing Dogs; Mitski
Your Best American Girl; Mitski
Sedona; Sir Chloe
The Only Heartbreaker; Mitski
