Pool; Still Woozy
Body And Mind; girl in red
Be Sweet; Japanese Breakfast
Talk to You; Ricky Montgomery
Pretty Pictures; Indigo De Souza
Codependency; Orla Gartland
Astral Projection; Yumi Zouma
Sinatra; Forrest Nolan
It Gets Dark; Sigrid
Phoebe Told Me; Sydney Rose
Freaks; Surf Curse
It's Good To Be In Love; Frou Frou
Frankenstein; Claire Rosinkranz
Have U Seen Her; Kid Bloom
Especially You; Wallows
I Wish I Never Met You; Babygirl
Northern Lights; Kennie
haaAakkKKK!!!; OurR
Colored Glass; Blu'Jay
So Alright, Cool, Whatever; The Happy Fits
my dog won't miss you (dead 2 me); chloe moriondo
Waves; Wild Painting
As It Was; Harry Styles
Oxygen; Beach Bunny
saw ur mom at the grocery store; Abby Cates
Memories; Conan Gray
madhouse; Matt Maltese
Hills Of Fire; Sarah Kinsley
Was It Something I Said (feat. Cavetown); MyKey
Bodybag; chloe moriondo
Witches; Alice Phoebe Lou
All My Time Is Wasted; Hannah Jadagu
Cigarette; Babe Corner
So Long; Fleece
WasteUrTime; Kevin Walkman
Superstar; Pretty Sick
ceilings; Lizzy McAlpine
Ur Mum; Wet Leg
