Ocean Breeze; Daneshevskaya
It's Not The Same Anymore; Rex Orange County
Sunny day; beabadoobee
505; Arctic Monkeys
First Love / Late Spring; Mitski
Mott St; CIB
say im ur luv; UMI
September; frown line
Goodbye; MARINA
boyfriend, girlfriend; carwash
Thursday; Holly Humberstone
London Is Lonely; Holly Humberstone
Shower Song; tofusmell
Does It Matter?; Bestfriend
Hide & Seek; Etta Marcus
at least i'm pretty; Harriette
Motion Sickness; Phoebe Bridgers
Stupid; Deb Never
Maybe; Christian Leave
All I Ever Asked; Rachel Chinouriri
Moves; Suki Waterhouse
Highlight; Omar Apollo
Sofia; Quarters of Change
THREAT; Rex Orange County
Only a Dream; Avery Bruce
Perfect Places; Lorde
prom dress; mxmtoon
On Track; Tame Impala
Good Guy; Julia Jacklin
I Can't Handle Change; Roar
Unaware; Lemon's
Sympathize With You; Lemon's
Sweet Sad Eyes; Lemon's
Be Good; Pom Pom Squad
In a Week (feat. Karen Cowley); Hozier
Hard to Let Go; Men I Trust
Grocery Store; Cavetown
Part Of The Band; The 1975
Just to be Needed; death's dynamic shroud
by(e); min.a
Tourist Season; Miel
Trying; Luna Li
Doctor, My Eyes; Khamari
Parking Lot; Hana Vu
Endlessly; Omar Apollo
erase me (feat. Jacob Collier); Lizzy McAlpine
Funky; Deb Never
Chinatown; Barrie
Baby Pink; Kitty
Falling Behind; Laufey
Another Day in Paradise; Kailee Morgue
