Heat Waves; Glass Animals
Daddy Issues; The Neighbourhood
Call Out My Name; The Weeknd
505; Arctic Monkeys
Kill the Director; The Wombats
Absinthe; I DONT KNOW HOW BUT THEY FOUND ME
Run; Joji
Disco; Surf Curse
Cigarette Daydreams; Cage The Elephant
big city blues; Lil Peep
Alone Again; The Weeknd
Too Late; The Weeknd
Faith; The Weeknd
In Your Eyes; The Weeknd
Save Your Tears; The Weeknd
Nothing Compares - Bonus Track; The Weeknd
Final Lullaby - Bonus Track; The Weeknd
R.I.P. 2 My Youth; The Neighbourhood
Softcore; The Neighbourhood
Pretty Please; Dua Lipa
SLOW DANCING IN THE DARK; Joji
Hardest To Love; The Weeknd
Dear April (Side A - Acoustic); Frank Ocean
Vertigo; Khalid
Rat A Tat; Fall Out Boy
Buzzcut Season; Lorde
Wilson (Expensive Mistakes); Fall Out Boy
Stay Frosty Royal Milk Tea; Fall Out Boy
Sunshine Riptide; Fall Out Boy
Eleven; Khalid
Coffee Shop Soundtrack; All Time Low
Teddy Picker; Arctic Monkeys
