Elastic; Joey Purp
Tia Tamera (feat. Rico Nasty); Doja Cat
Tempo (feat. Missy Elliott); Lizzo
Wow. - Remix; Post Malone
Money In The Grave (Drake ft. Rick Ross); Drake
Big Ole Freak; Megan Thee Stallion
Truth Hurts; Lizzo
boyfriend (with Social House); Ariana Grande
Childs Play; Drake
God's Plan; Drake
In My Feelings; Drake
Bartier Cardi (feat. 21 Savage); Cardi B
Mercy; Kanye West
IV. Sweatpants; Childish Gambino
Juicy; Doja Cat
Everybody Gets High; MISSIO
rockstar; Post Malone
do re mi; blackbear
iSpy (feat. Lil Yachty); KYLE
Nice For What; Drake
Lalala; Y2K
That's All; sKitz Kraven
GTG; Freddie Dredd
nursery; bbno$
Lucid Dreams; Juice WRLD
II. Worldstar; Childish Gambino
4th Dimension; KIDS SEE GHOSTS
Womp Womp; Valee
Asshole; hooligan chase
PICK IT UP (feat. A$AP Rocky); Famous Dex
