Pleaser; Wallows
These Days; Wallows
Pictures of Girls; Wallows
Warm (feat. Mia); Dre'es
The Ocean With My Friends; Dre'es
Comfort Crowd; Conan Gray
Mystery of Love; Sufjan Stevens
affection; BETWEEN FRIENDS
Honeypie; JAWNY
CAN'T GET OVER YOU (feat. Clams Casino); Joji
Maybe She; Still Woozy
The Less I Know The Better; Tame Impala
Cutie; ilyTOMMY
Princess Bubblegum; ilyTOMMY
Cherry; Harry Styles
Where the Light Is; Surfaces
August; 4rif
Take A Slice; Glass Animals
It Gets Better; Rex Orange County
Fuzzybrain; Dayglow
Adore You; Harry Styles
Forever; Labrinth
Oblivion; Grimes
Plants; Crumb
Locket; Crumb
Falling; Harry Styles
She; Harry Styles
affection; BETWEEN FRIENDS
Life; The Walters
What Kind of Love; Childish Gambino
Blue; LAUNDRY DAY
10 SPEED; LAUNDRY DAY
Prom; SZA
Powerslide; Ryan Beatty
Televised; HUNNY
Sunflower; Rex Orange County
Cooks; Still Woozy
Drown V3; Dre'es
Forever; ilyTOMMY
Tunnel of Love; ilyTOMMY
Breathe; 88rising
ilomilo; Billie Eilish
BITE; Troye Sivan
The Story; Conan Gray
Bad Religion; Frank Ocean
Watermelon Sugar; Harry Styles
You should be sad; Halsey
Eleven; Khalid
Like Dat (feat. Savage Ga$p); ilyTOMMY
Black Swan; BTS
SUGAR; BROCKHAMPTON
FACEDOWN; JAWNZA
fever dream; mxmtoon
like i need u; keshi
