LOST IN THE ECHO; Linkin Park
Good Goodbye (feat. Pusha T and Stormzy); Linkin Park
Don't Jump; Tokio Hotel
Spring nicht; Tokio Hotel
Stressed Out; Twenty One Pilots
Ride; Twenty One Pilots
Heathens; Twenty One Pilots
In the End; Linkin Park
POWERLESS; Linkin Park
CASTLE OF GLASS; Linkin Park
BURN IT DOWN; Linkin Park
Final Masquerade; Linkin Park
Numb / Encore; JAY-Z
Cancer; Twenty One Pilots
Logan 2017  -  Main SoundtrackTheme (HQ); 
Breaking the Habit; Linkin Park
Papercut; Linkin Park
Talking to Myself; Linkin Park
What I've Done; Linkin Park
Somewhere I Belong; Linkin Park
Points of Authority; Linkin Park
Durch den Monsun - Radio Mix; Tokio Hotel
Monsoon - Gateway Version; Tokio Hotel
French Montana - Unforgettable ft. Swae Lee (Slushii Remix); 
