Heart of Darkness; Secession Studios
Dancing with Flames; Secession Studios
Gotham's Reckoning; Hans Zimmer
Midnight In A Perfect World; DJ Shadow
Lux Aeterna; Clint Mansell
Piercing Light; League of Legends
Sahara; Hensonn
PRINCE OF DARKNESS; SHADXWBXRN
MIDNIGHT; PLAYAMANE
Disaster; KSLV Noh
Moonlight Sonata (1st Movement); Betoven Collection
Moonlight Sonata (2nd Movement); Betoven Collection
Moonlight Sonata (3rd Movement); Betoven Collection
Supervillain Theme; Madvillain
Menace; owensrick
Menace; visioner.
