Jungle; Drake
High For This - Original; The Weeknd
How Much A Dollar Cost; Kendrick Lamar
Runaway; Kanye West
Wiley Flow; Stormzy
Thriller; Michael Jackson
Praise The Lord (Da Shine) (feat. Skepta); A$AP Rocky
March Madness; Future
A Milli; Lil Wayne
Ric Flair Drip (with Metro Boomin); Offset
Ace Hood Flow; Skepta
Here Comes The Sun - Remastered 2009; The Beatles
Ni**as In Paris; JAY-Z
Pursuit Of Happiness (Nightmare); Kid Cudi
Soul Food II; Logic
Purple Rain; Prince
Lose Yourself - From "8 Mile" Soundtrack; Eminem
10 Commandments; Chip
Verdansk - Survival Mode; Dave
REACH THE SUNSHINE.; Lil Yachty
4 Your Eyez Only; J. Cole
Kody Blu 31; JID
Yes Indeed; Lil Baby
Bank Account; 21 Savage
The A Team; Ed Sheeran
Get Lucky (feat. Pharrell Williams & Nile Rodgers); Daft Punk
Jigsaw Falling Into Place; Radiohead
Umbrella; Rihanna
XO Tour Llif3; Lil Uzi Vert
RUNNING OUT OF TIME; Tyler, The Creator
N.Y. State of Mind; Nas
Down Like That (feat. Rick Ross, Lil Baby & S-X); KSI
Pyramids; Frank Ocean
Power is Power (feat. The Weeknd & Travis Scott); SZA
All Caps; Madvillain
Break My Heart; Dua Lipa
Don Life (feat. Lil Wayne); Big Sean
Only God Can Judge Me (ft. Rappin' 4-Tay); 2Pac
Man Don't Care; Jme
Where The Hood At; DMX
Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!); A$AP Mob
Someone Like You; Adele
Walk It Talk It; Migos
Dangerous; S-X
Uptown Funk (feat. Bruno Mars); Mark Ronson
Shook Ones, Pt. II; Mobb Deep
Magnolia; Playboi Carti
I'm On One; DJ Khaled
Last Last; Burna Boy
90210 (feat. Kacy Hill); Travis Scott
