Blinding Lights; The Weeknd
Face to Face; Rex Orange County
Strawberry; Lui Joseph
Sunflower; Rex Orange County
3 Nights; Dominic Fike
Sunday Best; Surfaces
Supalonely; BENEE
Flare Guns; Quinn XCII
fever dream; mxmtoon
Straightjacket; Quinn XCII
Cocoa Butter Kisses; Chance the Rapper
Star; Bazzi
Swimming Pools (Drank) - Extended Version; Kendrick Lamar
Buff Baby; tobi lou
Dance, Baby!; boy pablo
Hot Rod; Dayglow
Lowlife; That Poppy
Ransom (with Juice WRLD) - Remix; Lil Tecca
Say So; Doja Cat
Adore You; Harry Styles
Golden; Harry Styles
Are You Bored Yet? (feat. Clairo); Wallows
Better; Khalid
In Your Eyes; The Weeknd
Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie); Mustard
Better; Lil Yachty
Ballin' (with Roddy Ricch); Mustard
Weekend Friend; Goth Babe
Gimme Love; Joji
Can I Call You Tonight?; Dayglow
Ice Cold Pool; Wallows
91; Lil Sil
Hatchback; Cochise
warm glow; Hippo Campus
Midnight City; M83
Feels Like We Only Go Backwards; Tame Impala
New Person, Same Old Mistakes; Tame Impala
Loverboy; A-Wall
Pretty Girl; Clairo
Goodie Bag; Still Woozy
Mixed Personalities (feat. Kanye West); YNW Melly
What You Know Bout Love; Pop Smoke
Dark Red; Steve Lacy
