June Ponal; Krishh
Maruvaarthai; Sid Sriram
Thangamey; Anirudh Ravichander
Naanum Rowdy Dhaan; Anirudh Ravichander
Kannaane Kanne; Anirudh Ravichander
Yennai Maatrum Kadhale; Anirudh Ravichander
Neeyum Naanum; Anirudh Ravichander
Bolna (From "Kapoor & Sons (Since 1921)"); Tanishk Bagchi
Bol Do Na Zara; Junaid Asghar
Mundhinam; Harris Jayaraj
Thalli Pogathey; A.R. Rahman
Visiri; Darbuka Siva
Inkem Inkem Inkem Kaavaale - From "Geetha Govindam"; Gopi Sundar
Kurumba - Father's Love; D. Imman
Adiye; A.R. Rahman
Hosanna; A.R. Rahman
Vaarayo Vaarayo; Harris Jayaraj
Uyirin Uyire; KK
Vaseegara; Bombay Jayashri
Kabhi Jo Badal Barse Unplugged; Arijit Singh
Channa Mereya (From "Ae Dil Hai Mushkil"); Pritam
Gerua (From "Dilwale"); Pritam
Agar Tum Saath Ho (From "Tamasha"); Alka Yagnik
Ae Dil Hai Mushkil Title Track (From "Ae Dil Hai Mushkil"); Pritam
Ashai Mugam (feat. Vidya and Vandana Iyer); Shankar Tucker
Ennodu Nee Irundhaal; A.R. Rahman
Channa Mereya (From "Ae Dil Hai Mushkil"); Pritam
Gerua (From "Dilwale"); Pritam
Main Hoon Hero - Original; Mohammed Aziz
Tujhe Bhula Diya; Chai-Town
Tujh Mein Rab Dikhta Hai; Roop Kumar Rathod
Kabhi Jo Baadal Barse (From "Jackpot"); Arijit Singh
Sanam Re (From "Sanam Re"); Mithoon
Tu Jaane Na; Atif Aslam
Vaseegara - From "Minnale"; Bombay Jayashri
Kangal Irandal; James Vasanthan
Kya Mujhe Pyar Hai; KK
Chammak Challo; Akon
Thuli Thuli; Yuvan Shankar Raja
Hasi - Male Version; Ami Mishra
Tum Se Hi; Pritam
Saiyaara; Sohail Sen
