Your Shirt; Chelsea Cutler
Go Gina; SZA
Outrunning Karma; Alec Benjamin
come out and play; Billie Eilish
Japanese Denim; Daniel Caesar
SOHO; Jaden
LA NIGHTS; Ne-Yo
ILYSB - STRIPPED; LANY
Redbone; Childish Gambino
Held Me Down; NAV
Instinct (feat. MadeinTYO); Roy Woods
SLOW DANCING IN THE DARK; Joji
Missin You Crazy; Russ
Midsummer Madness; 88rising
Move That Body; Mickey Valen
Wake Up in the Sky; Gucci Mane
Saved; Khalid
Love Galore (feat. Travis Scott); SZA
Broken Clocks; SZA
Flare Guns; Quinn XCII
TEST DRIVE; Joji
Myself; NAV
Fire & Desire; Drake
Psycho (feat. Ty Dolla $ign); Post Malone
Love Lies (with Normani); Khalid
I; Lil Skies
wish you were gay; Billie Eilish
4 Min Convo (Favorite Song); A Boogie Wit da Hoodie
Chinese New Year; SALES
Song 32; Noname
Another Sad Love Song; Khalid
Sunflower; Rex Orange County
do re mi; blackbear
My Body; Armstrong Leigh
Forever World (feat. Trippie Redd); Lil Yachty
Want My M's; Kap G
Sanctuary; Joji
Plans (feat. Vory); 88rising
It's A Flex (feat. NAV); 88GLAM
Dreamcatcher (feat. Swae Lee & Travis Scott); Metro Boomin
Ransom (with Juice WRLD) - Remix; Lil Tecca
lowkey; NIKI
In My Head; Bedroom
Star; Bazzi
Coaster; Khalid
Cocoa Butter Kisses; Chance the Rapper
Sailor Moon; lilbootycall
Bliss; Cam the Artisan
Mind Games; Verzache
Peach; Kevin Abstract
No Idea; Don Toliver
Ms; alt-J
Better; Khalid
Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie); Mustard
20 Min; Lil Uzi Vert
X (feat. Future); 21 Savage
Ivy; Frank Ocean
Violent Crimes; Kanye West
Norman fucking Rockwell; Lana Del Rey
Suicidal; YNW Melly
Do Not Wait; Wallows
Chanel; Frank Ocean
Budapest; George Ezra
Buttercup; Jullian
Bored; Billie Eilish
Always Been You; Quinn XCII
Cigarette Daydreams; Cage The Elephant
July; Noah Cyrus
I Didn't Realize How Empty My Bed Was Until You Left; Roderick Porter
hot tub TIME Machine; tobi lou
New Flesh; Current Joys
ily (i love you baby) (feat. Emilee); Surf Mesa
Diana (feat. King Combs); Pop Smoke
warm glow; Hippo Campus
Junior Varsity; Dayglow
I Wanna Be Yours; Arctic Monkeys
Little Dark Age; MGMT
just a boy; Alaina Castillo
girls like u; blackbear
Damn Baby; Alt Bloom
Goodie Bag; Still Woozy
Loverboy; A-Wall
North Face; ODIE
Compass; The Neighbourhood
Flaming Hot Cheetos; Clairo
Slide; H.E.R.
ojpl; easy life
Reflections; The Neighbourhood
You Get Me So High; The Neighbourhood
What You Know Bout Love; Pop Smoke
CPR; Summer Walker
God Is Fair, Sexy Nasty (feat. Kendrick Lamar); Mac Miller
Good Days; SZA
Jus' Know; BlackMayo
Teenage Fever; Drake
Houdini; Foster The People
Rain; Graham Riley
Run; Joji
Gimme Love; Joji
After Dark; Mr.Kitty
Wish; Vinnyrn
Daddy Issues; The Neighbourhood
505; Arctic Monkeys
Test & Recognise - Flume Re-work; Seekae
Wires; The Neighbourhood
Afraid; The Neighbourhood
Softcore; The Neighbourhood
I Can't Handle Change; Roar
After Hours; The Weeknd
Redbone; Dontcry
Save Your Tears; The Weeknd
Weekend Friend; Goth Babe
Money Trees; Kendrick Lamar
Dead Man Walking; Brent Faiyaz
Drew Barrymore; SZA
