Sodium; BONES
WISH YOU WELL; Amir Obe
Wake Up in the Sky; Gucci Mane
Cheryl; Yung Gravy
Mr. Clean; Yung Gravy
SICKO MODE; Travis Scott
Juice; Yo Gotti
Just Like Me (feat. Young Thug); A Boogie Wit da Hoodie
Want My M's; Kap G
He Diddy!; Ski Mask The Slump God
Relationship (feat. Future); Young Thug
Ransom; Lil Tecca
It's A Flex (feat. NAV); 88GLAM
Ransom (with Juice WRLD) - Remix; Lil Tecca
The Box; Roddy Ricch
; 
HIGHEST IN THE ROOM; Travis Scott
Armed And Dangerous; Juice WRLD
IV. Sweatpants; Childish Gambino
20 Min; Lil Uzi Vert
After Party; Don Toliver
DEALER (feat. Future & Lil Baby); RMR
hot tub TIME Machine; tobi lou
MAZEL TOV; IDK
29; Bankrol Hayden
Camelot; NLE Choppa
Ballin' (with Roddy Ricch); Mustard
Set Me Free; Lecrae
Hatchback; Cochise
Diana (feat. King Combs); Pop Smoke
44 BullDog; Pop Smoke
Gangstas; Pop Smoke
91; Lil Sil
Hatchback; Cochise
Mixed Personalities (feat. Kanye West); YNW Melly
GATTI; JACKBOYS
What You Know Bout Love; Pop Smoke
Jus' Know; BlackMayo
Scenario; Pop Smoke
Mr. Glock; Key Glock
Fight Night; Migos
Collard Greens; ScHoolboy Q
Super Gremlin; Kodak Black
Ambition For Cash; Key Glock
Knife Talk (with 21 Savage ft. Project Pat); Drake
What A Life; Big Sean
Betty; MAKAVELIGODD
Big Glocks; Pouya
Vamp Anthem; Playboi Carti
too easy; Gunna
Preach; Drake
ORANGE SODA; Baby Keem
Space Cadet (feat. Gunna); Metro Boomin
10 Freaky Girls (with 21 Savage); Metro Boomin
Ric Flair Drip (with Metro Boomin); Offset
Broke In A Minute; Tory Lanez
Hot (Remix) [feat. Gunna and Travis Scott]; Young Thug
Faucet Failure; Ski Mask The Slump God
Worst Behavior; Drake
PICK IT UP (feat. A$AP Rocky); Famous Dex
ADDICTIONS (FEAT. Tre' Amani); Brent Faiyaz
N95; Kendrick Lamar
